,song title,artist,album title,year,duration,bpm,scale,loudness
348,['Sunflower Slow Drag'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],253.17333333333332,143.5546875,0,-13.715418675692185
353,['Solitude'],['Ella Fitzgerald'],['100 Songs For A Centennial'],['2017-04-21'],127.6,129.19921875,0,-16.69312027652374
356,"[""(I've Got A Gal In) Kalamazoo""]",['Glenn Miller'],['The Essential Glenn Miller'],['1996-01-02'],194.2133333333333,129.19921875,0,-14.466950216508897
357,['Bewitched (2008 Remastered)'],['Frank Sinatra'],['Nothing But The Best (Remastered)'],['2008-05-05'],179.90666666666667,151.99908088235293,0,-11.771495419091089
358,['Blues For Basie'],['Oscar Peterson'],['Plays Count Basie'],['1956-01-01'],210.78666666666663,117.45383522727272,0,-14.260156975562262
362,['Easy Living'],['Wardell Gray'],"['Wardell Gray Memorial, Vol. 1']",['1953-02-20'],262.93333333333334,184.5703125,0,-15.807719930803058
369,"[""Miles' Mode""]",['John Coltrane Quartet'],['Coltrane'],['2007-01-01'],451.92,103.359375,0,-12.839939367170643
372,['The Drum Thunder Suite (Remastered)'],['Art Blakey'],"[""Moanin' (Expanded Edition)""]",['1959-01-01'],450.9333333333333,151.99908088235293,0,-10.891311365001124
373,['The Kicker (Rudy Van Gelder Edition/1999 Digital Remaster)'],['Horace Silver'],['Song For My Father'],['1999-01-01'],326.7866666666667,129.19921875,0,-11.15697621776572
375,['Tough Mary (Single Version)'],['Etta James'],['At Last!'],['2017-11-10'],144.76,143.5546875,0,-9.897516118238755
378,['When You Wish Upon A Star (Remastered 2002)'],['Glenn Miller'],['The Essential Glenn Miller'],['1996-01-02'],171.08,107.666015625,0,-14.267867253627225
383,"[""Let's Fall In Love (Take 1)""]","['Louis Armstrong', 'Oscar Peterson']",['Pops Is Tops: The Verve Studio Albums'],['2018-04-13'],216.33333333333331,123.046875,0,-13.266288783902857
384,['March Majestic'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],171.53333333333333,117.45383522727272,0,-14.756634252624496
386,['The St. Louis Blues March (Remastered 2001)'],['Glenn Miller & The Army Air Force Band'],['The Essential Glenn Miller'],['1996-01-02'],265.04,117.45383522727272,0,-13.055334624058506
389,['So Long Broadway'],['Wardell Gray'],"['Wardell Gray Memorial, Vol. 1']",['1953-02-20'],190.70666666666668,107.666015625,0,-13.68270507124256
390,['Something Doing'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],228.22666666666663,161.4990234375,0,-15.027103063434206
392,['The Booglie Wooglie Piggy (Remastered)'],['Glenn Miller'],['The Essential Glenn Miller'],['1996-01-02'],203.25333333333333,143.5546875,0,-14.602584546948869
394,['Indiana (Studio Warm-up)'],"['Louis Armstrong', 'Oscar Peterson']",['Pops Is Tops: The Verve Studio Albums'],['2018-04-13'],325.06666666666666,117.45383522727272,0,-13.033038787864225
395,['Lily Queen'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],193.10666666666663,184.5703125,0,-14.075501880651723
397,"[""Paul's Cause""]",['Wardell Gray'],"['Wardell Gray Memorial, Vol. 1']",['1953-02-20'],176.6,151.99908088235293,0,-14.17069803048127
399,['Fig Leaf Rag'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],276.0,129.19921875,0,-14.628449414904358
401,['Mission To Moscow (Remastered 2001)'],['Glenn Miller & The Army Air Force Band'],['The Essential Glenn Miller'],['1996-01-02'],151.26666666666668,129.19921875,0,-16.02071120877926
402,['Nothing But The Best (2008 Remastered)'],['Frank Sinatra'],['Nothing But The Best (Remastered)'],['2008-05-05'],180.24,151.99908088235293,0,-11.846480307145727
403,['The Man I Love'],['Wardell Gray'],"['Wardell Gray Memorial, Vol. 1']",['1953-02-20'],189.0,143.5546875,0,-13.041954815677103
404,['Augustan Club Waltz'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],285.2266666666667,172.265625,0,-14.290496728874944
406,['Drinking Again (2008 Remastered)'],['Frank Sinatra'],['Nothing But The Best (Remastered)'],['2008-05-05'],195.14666666666668,123.046875,0,-14.724436666813194
409,['Londonderry Air (Danny Boy)/Shoo-Shoo Baby/The Way You Look Tonight/Beautiful Blue Danube (2001 Remastered)'],['Glenn Miller & The Army Air Force Band'],['The Essential Glenn Miller'],['1996-01-02'],527.04,129.19921875,0,-13.93006221899004
410,['All My Tomorrows (2008 Remastered)'],['Frank Sinatra'],['Nothing But The Best (Remastered)'],['2008-05-05'],275.02666666666664,123.046875,0,-11.738057541595111
411,['Kim'],['Charlie Parker'],['Bird 100'],['2020-08-28'],178.29333333333332,161.4990234375,0,-14.497738867400813
416,"[""Ain't It A Shame""]",['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],145.84,123.046875,0,-14.96347911868371
417,"[""Don't Come Knockin'""]",['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],118.70666666666666,172.265625,0,-12.99201811800621
418,['Hum Diddy Doo'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],112.44,161.4990234375,0,-12.896423994656123
